Sentence #,Word,POS,Tag
,to,TO,O
,more,JJR,O
,than,IN,O
,"300,000",CD,O
,devices,NNS,O
,-,:,O
,won't,NN,O
,get,VB,O
,patched,VBN,O
,until,IN,O
,the,DT,O
,next,JJ,O
,release,NN,O
,of,IN,O
,the,DT,O
,mobile,JJ,O
,browser,NN,O
,.,.,O
Sentence: 20,The,DT,O
,flaw,NN,O
,allows,VBZ,O
,malware,NN,O
,writers,NNS,O
,to,TO,O
,quietly,RB,O
,download,VB,O
,Android,NNP,B-OS
,app,JJ,O
,installation,NN,O
,(,(,O
,.,.,O
,apk,NN,O
,),),O
,files,VBZ,O
,to,TO,O
,devices,NNS,O
,without,IN,O
,requiring,VBG,O
,approval,NN,O
,.,.,O
Sentence: 21,Users,NNS,O
,need,VBP,O
,to,TO,O
,install,VB,O
,the,DT,O
,banking,NN,O
,trojan,NN,O
,apps,NN,O
,and,CC,O
,tweak,JJ,O
,settings,NNS,O
,to,TO,O
,allow,VB,O
,installation,NN,O
,of,IN,O
,apps,NN,O
,from,IN,O
,stores,NNS,O
,other,JJ,O
,than,IN,O
,Google,NNP,O
,Playto,NNP,O
,be,VB,O
,infected,VBN,O
,;,:,O
,however,RB,O
,",",",",O
,attackers,NNS,O
,increased,VBD,O
,the,DT,O
,likelihood,NN,O
,of,IN,O
,compromise,NN,O
,by,IN,O
,using,VBG,O
,the,DT,O
,titles,NNS,O
,of,IN,O
,popular,JJ,O
,Android,NNP,O
,apps,NN,O
,such,JJ,O
,as,IN,O
,Skype,NNP,O
,",",",",O
,MinecraftPE,NNP,O
,",",",",O
,and,CC,O
,WhatsApp,NNP,O
,.,.,O
Sentence: 22,Kaspersky,NNP,O
,researchers,NNS,O
,Mikhail,NNP,O
,Kuzin,NNP,O
,and,CC,O
,Nikita,NNP,O
,Buchka,NNP,O
,found,VBD,O
,the,DT,O
,flaw,NN,O
,last,JJ,O
,month,NN,O
,in,IN,O
,a,DT,O
,wide-spread,JJ,O
,campaign,NN,O
,across,IN,O
,Russian,JJ,O
,news,NN,O
,sites,NNS,O
,and,CC,O
,web,NN,O
,properties,NNS,O
,.,.,O
Sentence: 23,Some,DT,O
,"37,000",CD,O
,users,NNS,O
,at,IN,O
,the,DT,O
,campaign's,NN,O
,peak,NN,O
,received,VBD,O
,the,DT,O
,malicious,JJ,O
,.,.,O
,apk,JJ,O
,files,NNS,O
,.,.,O
Sentence: 24,Missing,VBG,O
,from,IN,O
,Tribune,NNP,O
,,NNP,O
,s,VBD,O
,statements,NNS,O
,were,VBD,O
,any,DT,O
,details,NNS,O
,about,IN,O
,the,DT,O
,nature,NN,O
,of,IN,O
,the,DT,O
,malware,NN,O
,or,CC,O
,evidence,NN,O
,for,IN,O
,its,PRP$,O
,assertion,NN,O
,that,IN,O
,the,DT,O
,attack,NN,O
,originated,VBD,O
,overseas,RB,O
,.,.,O
Sentence: 25,While,IN,O
,it,PRP,O
,is,VBZ,O
,unknown,JJ,O
,when,WRB,O
,the,DT,O
,next,JJ,O
,Android,NNP,O
,Chrome,NNP,O
,version,NN,O
,will,MD,O
,be,VB,O
,released,VBN,O
,",",",",O
,Google,NNP,O
,usually,RB,O
,sticks,VBZ,O
,to,TO,O
,a,DT,O
,six,CD,O
,week,NN,O
,release,NN,O
,cycle,NN,O
,.,.,O
Sentence: 26,If,IN,O
,Google,NNP,O
,sticks,NNS,O
,to,TO,O
,that,DT,O
,timeline,NN,O
,",",",",O
,a,DT,O
,new,JJ,O
,edition,NN,O
,of,IN,O
,the,DT,O
,browser,NN,O
,should,MD,O
,land,VB,O
,before,IN,O
,December,NNP,O
,3rd,CD,O
,",",",",O
,2016,CD,O
,.,.,O
Sentence: 27,This,DT,O
,offers,VBZ,O
,attackers,NNS,O
,a,DT,O
,touch,NN,O
,over,IN,O
,three,CD,O
,weeks,NNS,O
,to,TO,O
,ramp,VB,O
,what,WP,O
,what,WP,O
,Kuzin,NNP,O
,and,CC,O
,Buchka,NNP,O
,say,VBP,O
,are,VBP,O
,likely,JJ,O
,attacks,NNS,O
,through,IN,O
,AdSense,NNP,B-DVEC
,against,IN,O
,the,DT,O
,rest,NN,O
,of,IN,O
,the,DT,O
,world,NN,O
,.,.,O
Sentence: 28,The,DT,O
,same,JJ,O
,attack,NN,O
,group,NN,O
,has,VBZ,O
,been,VBN,O
,upgrading,VBG,O
,and,CC,O
,spreading,VBG,O
,its,PRP$,O
,Svpeng,NNP,B-MAL
,trojan,NN,O
,since,IN,O
,2013,CD,O
,",",",",O
,including,VBG,O
,changing,VBG,O
,its,PRP$,O
,victim,NN,O
,base,NN,O
,in,IN,O
,2014,CD,O
,to,TO,O
,target,VB,O
,users,NNS,O
,in,IN,O
,the,DT,O
,United,NNP,O
,States,NNPS,O
,.,.,O
Sentence: 29,A,DT,O
,new,JJ,O
,version,NN,O
,of,IN,O
,the,DT,O
,Svpeng,NNP,B-MAL
,Android,NNP,B-OS
,banking,NN,O
,trojan,NN,O
,has,VBZ,O
,started,VBN,O
,making,VBG,O
,victims,NNS,O
,during,IN,O
,the,DT,O
,past,JJ,O
,month,NN,O
,",",",",O
,and,CC,O
,at,IN,O
,the,DT,O
,origin,NN,O
,of,IN,O
,this,DT,O
,sudden,JJ,O
,surge,NN,O
,in,IN,O
,activity,NN,O
,is,VBZ,O
,a,DT,O
,criminal,JJ,O
,selling,NN,O
,a,DT,O
,new,JJ,O
,and,CC,O
,improved,JJ,O
,version,NN,O
,of,IN,O
,Svpeng,NNP,B-MAL
,on,IN,O
,a,DT,O
,Russian,JJ,O
,underground,NN,O
,hacking,VBG,O
,forum,NN,O
,.,.,O
Sentence: 30,To,TO,O
,provide,VB,O
,some,DT,O
,context,NN,O
,",",",",O
,Svpeng,NNP,B-MAL
,is,VBZ,O
,one,CD,O
,of,IN,O
,the,DT,O
,oldest,JJS,O
,Android,NNP,B-OS
,malware,NN,O
,families,NNS,O
,and,CC,O
,a,DT,O
,constant,JJ,O
,innovator,NN,O
,on,IN,O
,the,DT,O
,Android,NNP,B-OS
,malware,NN,O
,scene,NN,O
,.,.,O
Sentence: 31,Security,NN,O
,researchers,NNS,O
,first,RB,O
,spotted,VBD,O
,Svpeng,NNP,B-MAL
,in,IN,O
,2013,CD,O
,and,CC,O
,during,IN,O
,its,PRP$,O
,evolution,NN,O
,",",",",O
,the,DT,O
,trojan,NN,O
,was,VBD,O
,the,DT,O
,first,JJ,O
,malware,NN,O
,to,TO,O
,use,VB,O
,various,JJ,O
,techniques,NNS,O
,",",",",O
,such,JJ,O
,as,IN,O
,:,:,O
,Stealing,VBG,B-BEH
,money,NN,O
,from,IN,O
,people's,JJ,O
,bank,NN,O
,accounts,NNS,O
,via,IN,O
,SMS-based,JJ,B-DVEC
,account,NN,O
,management,NN,O
,services,NNS,O
,.,.,O
Sentence: 32,Overlaying,VBG,B-BEH
,fake,JJ,O
,login,NN,O
,screens,NNS,O
,on,IN,O
,top,NN,O
,of,IN,O
,legitimate,JJ,O
,banking,NN,O
,apps,NN,O
,.,.,O
Sentence: 33,Change,NNP,B-BEH
,PIN,NNP,I-BEH
,",",",",O
,block,NN,B-BEH
,devices,NNS,I-BEH
,",",",",O
,and,CC,O
,ask,VB,O
,for,IN,O
,money,NN,O
,(,(,O
,first,JJ,O
,banking,NN,O
,trojan,NN,O
,to,TO,O
,add,VB,O
,ransomware-like,JJ,O
,features,NNS,O
,),),O
,.,.,O
Sentence: 34,Svpeng,NNP,B-MAL
,becomes,VBZ,O
,first,RB,O
,banking,VBG,O
,trojan,NN,O
,to,TO,O
,use,VB,O
,a,DT,O
,keylogger,NN,B-CAP
,.,.,O
Sentence: 35,During,IN,O
,mid-July,NN,O
,this,DT,O
,year,NN,O
,",",",",O
,Svpeng,NNP,B-MAL
,added,VBD,O
,a,DT,O
,new,JJ,O
,notch,NN,O
,on,IN,O
,its,PRP$,O
,belt,NN,O
,of,IN,O
,innovations,NNS,O
,.,.,O
Sentence: 36,According,VBG,O
,to,TO,O
,security,NN,O
,researchers,NNS,O
,from,IN,O
,Dr.Web,NNP,O
,",",",",O
,Kaspersky,NNP,O
,Lab,NNP,O
,",",",",O
,and,CC,O
,Sophos,NNP,O
,",",",",O
,Svpeng,NNP,B-MAL
,became,VBD,O
,the,DT,O
,first,JJ,O
,banking,NN,O
,trojan,NN,O
,to,TO,O
,add,VB,O
,keylogger,JJR,B-CAP
,features,NNS,O
,",",",",O
,now,RB,O
,being,VBG,O
,capable,JJ,O
,of,IN,O
,recording,VBG,O
,everything,NN,O
,users,NNS,O
,type,VBP,O
,on,IN,O
,their,PRP$,O
,devices,NNS,O
,",",",",O
,via,IN,O
,built-in,NN,O
,or,CC,O
,third-party,JJ,O
,keyboard,NN,O
,apps,NN,O
,.,.,O
Sentence: 37,The,DT,O
,way,NN,O
,this,DT,O
,happens,VBZ,O
,is,VBZ,O
,via,IN,O
,the,DT,O
,native,JJ,O
,Android,NNP,O
,Accessibility,NNP,B-DVEC
,feature,NN,I-DVEC
,",",",",O
,also,RB,O
,abused,VBN,O
,by,IN,O
,many,JJ,O
,other,JJ,O
,malware,NN,O
,families,NNS,O
,.,.,O
Sentence: 38,All,DT,O
,Svpeng,NNP,B-MAL
,needs,NNS,O
,is,VBZ,O
,to,TO,O
,trick,VB,B-BEH
,users,NNS,O
,into,IN,O
,granting,VBG,O
,a,DT,O
,malicious,JJ,O
,app,NN,O
,access,NN,O
,to,TO,O
,this,DT,O
,feature,NN,O
,",",",",O
,which,WDT,O
,it,PRP,O
,later,RBR,O
,uses,VBZ,O
,to,TO,O
,add,VB,O
,its,PRP$,O
,admin,NNS,O
,user,NN,O
,to,TO,O
,the,DT,O
,victim's,NN,O
,phone,NN,O
,.,.,O
Sentence: 39,The,DT,O
,pair,NN,O
,acknowledge,VBP,O
,Google's,NNP,O
,plan,NN,O
,to,TO,O
,patch,VB,O
,but,CC,O
,say,VB,O
,its,PRP$,O
,efforts,NNS,O
,to,TO,O
,date,NN,O
,to,TO,O
,block,VB,O
,attacks,NNS,O
,have,VBP,O
,been,VBN,O
,ineffective,JJ,O
,.,.,O
Sentence: 40,This,DT,O
,user,NN,O
,",",",",O
,in,IN,O
,turn,NN,O
,",",",",O
,allows,VBZ,O
,Svpeng,NNP,B-MAL
,to,TO,O
,operate,VB,O
,undisturbed,JJ,O
,behind,IN,O
,the,DT,O
,user's,JJ,O
,back,RB,O
,.,.,O
Sentence: 41,Currently,RB,O
,",",",",O
,this,DT,O
,trojan,NN,O
,is,VBZ,O
,spread,JJ,O
,disguised,VBN,B-BEH
,as,IN,O
,an,DT,O
,Android,NNP,B-OS
,version,NN,O
,of,IN,O
,the,DT,O
,Adobe,NNP,B-DVEC
,Flash,NNP,I-DVEC
,application,NN,O
,.,.,O
Sentence: 42,In,IN,O
,the,DT,O
,past,NN,O
,",",",",O
,Svpeng,NNP,B-MAL
,heavily,RB,O
,relied,VBD,O
,on,IN,O
,mobile,JJ,O
,malvertising,NN,O
,",",",",O
,some,DT,O
,of,IN,O
,these,DT,O
,downloading,VBG,O
,the,DT,O
,trojan,NN,O
,on,IN,O
,user's,JJ,O
,phones,NNS,O
,without,IN,O
,even,RB,O
,needing,VBG,O
,user,JJ,O
,interaction,NN,O
,.,.,O
Sentence: 43,The,DT,O
,current,JJ,O
,campaign,NN,O
,targets,NNS,O
,users,VBP,O
,all,DT,O
,over,IN,O
,the,DT,O
,world,NN,O
,.,.,O
Sentence: 44,Researchers,NNS,O
,say,VBP,O
,they,PRP,O
,spotted,VBD,O
,Svpeng,NNP,B-MAL
,versions,NNS,O
,containing,VBG,O
,configurations,NNS,O
,that,WDT,O
,allow,VBP,O
,it,PRP,O
,to,TO,O
,steal,VB,B-BEH
,login,NN,O
,credentials,NNS,O
,for,IN,O
,14,CD,O
,UK,JJ,O
,banks,NNS,O
,",",",",O
,10,CD,O
,German,JJ,O
,banks,NNS,O
,",",",",O
,9,CD,O
,Turkish,JJ,O
,banks,NNS,O
,",",",",O
,9,CD,O
,Australian,JJ,O
,banks,NNS,O
,",",",",O
,8,CD,O
,French,JJ,O
,banks,NNS,O
,",",",",O
,7,CD,O
,Polish,JJ,O
,banks,NNS,O
,",",",",O
,and,CC,O
,6,CD,O
,Singapore,NNP,O
,banks,NNS,O
,.,.,O
Sentence: 45,New,NNP,O
,Svpeng,NNP,B-MAL
,version,NN,O
,does,VBZ,O
,not,RB,O
,target,VB,O
,Russians,NNPS,O
,Kaspersky,NNP,O
,Lab,NNP,O
,notes,VBZ,O
,that,IN,O
,despite,IN,O
,this,DT,O
,",",",",O
,most,JJS,O
,infected,JJ,O
,users,NNS,O
,were,VBD,O
,from,IN,O
,Russia,NNP,O
,",",",",O
,but,CC,O
,Svpeng,NNP,B-MAL
,was,VBD,O
,configured,VBN,O
,to,TO,O
,avoid,VB,O
,execution,NN,O
,on,IN,O
,these,DT,O
,devices,NNS,O
,",",",",O
,a,DT,O
,classic,JJ,O
,sign,NN,O
,it,PRP,O
,was,VBD,O
,created,VBN,O
,by,IN,O
,a,DT,O
,local,JJ,O
,criminal,NN,O
,who,WP,O
,wants,VBZ,O
,to,TO,O
,avoid,VB,O
,getting,VBG,O
,on,IN,O
,the,DT,O
,radar,NN,O
,of,IN,O
,local,JJ,O
,authorities,NNS,O
,.,.,O
Sentence: 46,In,IN,O
,the,DT,O
,past,NN,O
,",",",",O
,Svpeng,NNP,B-MAL
,heavily,RB,O
,targeted,VBD,O
,and,CC,O
,infected,JJ,O
,Russian,JJ,O
,victims,NNS,O
,.,.,O
Sentence: 47,In,IN,O
,August,NNP,O
,2015,CD,O
,",",",",O
,Russian,JJ,O
,authorities,NNS,O
,arrested,VBD,O
,a,DT,O
,man,NN,O
,on,IN,O
,suspicion,NN,O
,of,IN,O
,creating,VBG,O
,the,DT,O
,Svpeng,NNP,B-MAL
,banking,NN,O
,trojan,NN,O
,",",",",O
,but,CC,O
,new,JJ,O
,versions,NNS,O
,continued,VBN,O
,to,TO,O
,come,VB,O
,out,RP,O
,after,IN,O
,his,PRP$,O
,arrest,NN,O
,.,.,O
Sentence: 48,New,NNP,O
,Svpeng,NNP,B-MAL
,version,NN,O
,advertised,VBD,O
,as,IN,O
,CryEye,NNP,O
,banking,NN,O
,trojan,NN,O
,According,VBG,O
,to,TO,O
,threat,NN,O
,intelligence,NN,O
,company,NN,O
,SenseCy,NNP,O
,",",",",O
,someone,NN,O
,named,VBN,O
,CryEye,NNP,O
,is,VBZ,O
,peddling,VBG,O
,this,DT,O
,new,JJ,O
,Svpeng,NNP,B-MAL
,version,NN,O
,with,IN,O
,a,DT,O
,built-in,JJ,O
,keylogger,NN,B-CAP
,on,IN,O
,Russian-speaking,NNP,O
,hacking,NN,O
,forums,NNS,O
,.,.,O
Sentence: 49,The,DT,O
,good,JJ,O
,news,NN,O
,is,VBZ,O
,that,IN,O
,for,IN,O
,reasons,NNS,O
,unknown,JJ,O
,",",",",O
Sentence: 50,neither,CC,O
,the,DT,O
,seller,NN,O
,nor,CC,O
,his,PRP$,O
,advertisement,NN,O
,have,VBP,O
,gained,VBN,O
,trust,NN,O
,among,IN,O
,other,JJ,O
,members,NNS,O
,of,IN,O
,the,DT,O
,forum,NN,O
,where,WRB,O
,it,PRP,O
,was,VBD,O
,posted,VBN,O
,",",",",O
Sentence: 51,according,VBG,O
,to,TO,O
,SenseCy,NNP,O
,.,.,O
Sentence: 52,One,CD,O
,reason,NN,O
,might,MD,O
,be,VB,O
,the,DT,O
,fact,NN,O
,that,IN,O
,the,DT,O
,seller,NN,O
,is,VBZ,O
,advertising,VBG,O
,this,DT,O
,Svpeng,NNP,B-MAL
,version,NN,O
,as,IN,O
,CryEye,NNP,O
,",",",",O
,a,DT,O
,new,JJ,O
,trojan,NN,O
,.,.,O
Sentence: 53,Potential,JJ,O
,buyers,NNS,O
,were,VBD,O
,quick,JJ,O
,to,TO,O
,catch,VB,O
,on,IN,O
,that,DT,O
,this,DT,O
,is,VBZ,O
,",",",",O
,in,IN,O
,reality,NN,O
,",",",",O
,a,DT,O
,version,NN,O
,of,IN,O
,Svpeng,NNP,B-MAL
,",",",",O
,for,IN,O
,which,WDT,O
,most,JJS,O
,of,IN,O
,today's,NN,O
,mobile,JJ,O
,security,NN,O
,antivirus,NN,O
,apps,NN,O
,can,MD,O
,detect,VB,O
,and,CC,O
,neutralize,VB,O
,",",",",O
,mainly,RB,O
,due,JJ,O
,to,TO,O
,its,PRP$,O
,long,JJ,O
,history,NN,O
,.,.,O
Sentence: 54,The,DT,O
,notorious,JJ,O
,Svpeng,NNP,B-MAL
,malware,NN,O
,takes,VBZ,O
,advantage,NN,O
,of,IN,O
,an,DT,O
,Android,NNP,B-OS
,function,NN,O
,designed,VBN,O
,to,TO,O
,help,VB,O
,people,NNS,O
,with,IN,O
,disabilities,NNS,O
,use,VBP,O
,their,PRP$,O
,phone,NN,O
,.,.,O
Sentence: 55,Svpeng,NNP,B-MAL
,now,RB,O
,uses,VBZ,O
,a,DT,O
,keylogger,NN,B-CAP
,to,TO,O
,put,VB,O
,mobile,JJ,O
,banking,NN,O
,app,NN,O
,details,NNS,O
,into,IN,O
,the,DT,O
,hands,NNS,O
,of,IN,O
,hackers,NNS,O
,.,.,O
Sentence: 56,Svpeng,NNP,B-MAL
,is,VBZ,O
,one,CD,O
,of,IN,O
,the,DT,O
,most,RBS,O
,notorious,JJ,O
,banking,NN,O
,Trojans,NNS,O
,because,IN,O
,it,PRP,O
,receives,VBZ,O
,regular,JJ,O
,upgrades,NNS,O
,in,IN,O
,order,NN,O
,to,TO,O
,stay,VB,O
,fresh,JJ,O
,and,CC,O
,keep,VB,O
,infecting,NN,O
,victims,NNS,O
,.,.,O
Sentence: 57,It,PRP,O
,has,VBZ,O
,just,RB,O
,been,VBN,O
,upgraded,VBN,O
,again,RB,O
,with,IN,O
,new,JJ,O
,keylogger,NN,B-CAP
,functionality,NN,O
,in,IN,O
,a,DT,O
,bid,NN,O
,to,TO,O
,steal,VB,B-BEH
,any,DT,O
,text,NN,O
,entered,VBN,O
,on,IN,O
,the,DT,O
,phone,NN,O
,",",",",O
,including,VBG,O
